sheet,row,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
요약,1,Bubli 프론트엔드 진행 요약 · 2026-07-01 (목업 제거·최신 백엔드 #145·API 용도맵 반영),,,,,,,,,,,
요약,2,"측정 기준: 기능/API CSV·색상표, 최신 백엔드 origin/develop 5f5d1ce(#146), 프론트 코드 실측 · 프로젝트룸 생성 런타임 검증 반영",,,,,,,,,,,
요약,3,,,,,,,,,,,,
요약,4,프론트 구현·연결 (코드 기준),,76%,,,,,,,,,
요약,5,배포 실동작 (인증 완료·실백엔드 왕복 전),,55%,,,,,,,,,
요약,6,,,,,,,,,,,,
요약,7,① 항목별 점수 (가중합 76%),,,,,,,,,,,
요약,8,항목,가중치,점수,근거(측정),,,,,,,,
요약,9,화면/라우트 구현,15%,79%,라우트 21개 존재(리다이렉트 2 제외 실질 19),,,,,,,,
요약,10,화면-API 연결(페이지),25%,90%,"유효 18페이지 중 됨15·부분3·안됨0 (실제 API 우선, 쓰기 목업 성공 제거, preview는 명시 개발 fallback)",,,,,,,,
요약,11,프론트 API 커버리지(백엔드),15%,92%,백엔드 149 unique method+path 중 프론트 어댑터/호출 137개. 화면연결과 API어댑터를 분리 표기,,,,,,,,
요약,12,상태처리(로딩·빈·오류·권한),10%,78%,"401은 로그인 필요, 실패/데이터 없음은 empty/offline, 쓰기 액션의 가짜 성공 데이터 제거",,,,,,,,
요약,13,앱·로컬(타우리),15%,66%,타우리 6기능 평균(위젯창65·SQLite76·폴더74·앱감지58·아웃박스58·사용량62),,,,,,,,
요약,14,품질 게이트/안정도,10%,87%,typecheck 통과 · tauri/product/diff 재검증 예정 · 최신 API 경로 정정,,,,,,,,
요약,15,다국어(i18n),10%,50%,메시지 완성·main 미병합·런타임 없음,,,,,,,,
요약,16,,,,,,,,,,,,
요약,17,② 배포 실동작 (별개 축),,,,,,,,,,,
요약,18,배포 실동작,—,55%,백엔드 최신 동기화·Docker DB/Redis 기동 확인. 인증 세션 없는 route smoke는 로그인/401 리다이렉트까지 확인,,,,,,,,
요약,19,,,,,,,,,,,,
요약,20,"③ 기능 상태 집계 (기능 연결 상세, 28개)",,,,,,,,,,,
요약,21,됨,21,,,,,,,,,,
요약,22,부분,5,,,,,,,,,,
요약,23,안됨,0,,,,,,,,,,
