스토리ID,feature,IA화면,분류,라우트마운트Y/N,4상태Y/N,비고
agent/agent-suggestion-inbox-panel,agent,에이전트 제안함,완료,Y,Y,전역 /app/agent-suggestions와 /work에 마운트된 후보 승인 인박스 4상태 골격
calendar/calendar-page-panel,calendar,일정/캘린더,완료,Y,Y,신규 /app/calendar 라우트에 마운트된 캘린더 화면 4상태 골격
bubbles/bubble-card,bubbles,버블 공통,완료,공통,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
domain/chat-message,domain,도메인 카드,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
domain/resource-card,domain,도메인 카드,완료,공통,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
domain/suggestion-card,domain,도메인 카드,완료,공통,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
domain/work-item-card,domain,도메인 카드,완료,공통,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
layout/workspace-topbar,layout,layout,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
ui/button,ui,공통 UI,완료,공통,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
ui/status-badge,ui,공통 UI,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
activity/activity-detection-panel,activity,설정 > 활동 인식 동의,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/agent-draft-suggestion-panel,agent,에이전트 후보/제안함/하루정리,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-job-event-timeline-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,Y,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-job-retry-policy-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-job-status-panel,agent,에이전트 후보/제안함/하루정리,점검용,Y,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-model-call-log-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-schema-validation-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,N,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/agent-usage-guard-panel,agent,에이전트 후보/제안함/하루정리,점검용,N,Y,정책/경계/복구/API 설명용. 삭제하지 않고 Storybook에 보관
agent/candidate-approval-panel,agent,에이전트 후보/제안함/하루정리,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/clarification-question-compose-panel,agent,에이전트 후보/제안함/하루정리,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/clarification-question-draft-panel,agent,에이전트 후보/제안함/하루정리,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/contract-review-panel,agent,에이전트 후보/제안함/하루정리,완료,Y,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품
agent/daily-summary-evidence-panel,agent,에이전트 후보/제안함/하루정리,완료,N,Y,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
agent/local-agent-memory-panel,agent,에이전트 후보/제안함/하루정리,완료,N,N,IA 화면 또는 공통 UI를 직접 구성하는 대표 부품 / 라우트 마운트 확인 필요
