순번,페이즈,작업ID,작업명,목표,선행작업,실행도구,추천_프롬프트(복붙용),자동화_스킬,병렬가능,완료기준(DoD),난이도
1,준비,S-01,백엔드 develop 최신화,프론트가 바라볼 서버를 최신으로,-,터미널,"cd ../bubli-backend && git checkout develop && git pull origin develop 한 뒤, docker compose up -d 와 ./gradlew bootRun 으로 8080이 뜨는지 확인해줘",-,N,8080 헬스 응답 OK,하
2,준비,S-02,프론트 실행 확인,개발 환경이 도는지 확인,S-01,터미널,"bubli-frontend에서 npm install 후 npm run dev(:3000), npm run storybook(:6006)이 정상으로 뜨는지 확인하고 안 뜨면 원인을 고쳐줘",-,N,3000·6006 정상,하
3,P0,S-03,컴포넌트 인벤토리 감사,스토리 144개를 완료/미완료/점검용으로 분류,S-02,에이전트,"bubli-frontend/src 전체를 읽고, 모든 .stories.tsx를 IA(03_IA-Screen-Structure)와 대조해서 docs/component-inventory.csv를 만들어줘. 컬럼: 스토리ID, feature, IA화면, 분류(완료/미완료/점검용), 라우트마운트Y/N, 4상태Y/N, 비고. 삭제는 하지 말고 분류만.",-,N,component-inventory.csv 생성,중
4,P0,S-04,누락 화면 확정,IA에 있는데 없는 화면만 추림,S-03,에이전트,"위 인벤토리에서 미완료로 분류된 것 중 IA 잎 화면을 표로 정리해줘. 개발계획 2.3의 누락 5종(캘린더, 에이전트 제안함, 대시보드 카드, WBS 4보기, 위젯 8종)과 비교해 빠진 게 더 있는지 확인",-,N,누락 목록 확정,하
5,P0,S-05,캘린더 화면 골격,/app/calendar 신규 화면,S-04,에이전트(바이브),"기준문서(CLAUDE.md, PROJECT_STRUCTURE.md) 읽고 features/calendar에 월간 일정 화면 골격을 만들어 /app/calendar 라우트에 마운트해줘. 색은 8장 토큰만, 이모지 금지, 빈/로딩/에러/정상 4상태 목데이터, components/ui 재사용. 산출: 컴포넌트+스토리, typecheck 통과",bubli-screen-scaffold,Y,라우트 클릭됨+스토리+4상태,중
6,P0,S-06,에이전트 제안함 골격,후보 승인 인박스 화면,S-04,에이전트(바이브),"features/agent에 '제안함'(요구사항/WBS/TODO/질문/초안 후보를 승인·수정·보류·삭제) 화면 골격을 만들어 /work 탭과 전역 제안함에 마운트. 후보와 확정을 시각적으로 구분. 4상태 목데이터, 토큰만, 스토리 포함",bubli-screen-scaffold,Y,제안함 클릭됨+4상태,중
7,P0,S-07,대시보드 카드 조립,오늘TODO/마감/확인필요/타이머/룸요약,S-04,에이전트(바이브),"features/dashboard에서 대시보드를 오늘 내 TODO, 가까운 마감, 확인 필요 항목, 진행 중 타이머, 프로젝트룸별 작업 요약 카드로 조립. /app에 마운트, 목데이터 4상태, 토큰만",bubli-screen-scaffold,Y,대시보드 5카드 보임,중
8,P0,S-08,WBS 4보기 토글,트리/칸반/타임라인/간트,S-04,에이전트(바이브),"features/wbs에 WBS 트리·칸반·타임라인·간트 보기를 보기 토글 하나로 묶어 /work에 마운트. dnd-kit는 이미 설치됨. 목데이터, 4상태, 토큰만",bubli-screen-scaffold,Y,4보기 토글 동작,상
9,P0,S-09,위젯 8종 버블 골격,TODO/에이전트/소통/타이머/메모/일정/자료/알림,S-04,에이전트(바이브),"features/widget에 위젯 버블 8종 골격을 만들어 /app/desktop/widgets에 배치. 버블은 투명 유리 톤, 최소화/고스트 상태 포함. 목데이터, 토큰만, 스토리",bubli-screen-scaffold,Y,8버블 표시,중
10,P0,S-10,점검용 패널 라벨링,삭제 말고 태그만,S-03,에이전트,"인벤토리에서 점검용으로 분류된 정책/검증/API/복구 패널을 실제 라우트 화면에서 떼되 Storybook에는 남기고, 스토리 제목/태그에 [점검용] 표기를 붙여줘. 삭제 금지",-,N,화면에서 분리+스토리 잔존,중
11,P0,S-11,1차 추출 완료 선언,완료 기준 5개 충족 확인,S-05~S-10,에이전트,개발계획 2.1의 완료기준 5개를 인벤토리로 점검해 충족되면 README에 '1차 컴포넌트 추출 완료(날짜)' 한 줄과 근거 표를 추가,-,N,README에 완료 선언,하
